12345,Aman Sultan,Non-Syed,11/23/2018,Male,Karachi,Pakistan,1,ENG
12346,Aun Ali Rizvi,Syed,11/23/2002,Male,Karachi,Pakistan,2,ENG
12347,Noor Ali,Non-Syed,11/23/2013,Male,Karachi,Pakistan,4,ENG
12348,Hassan Naveed,Non-Syed,11/23/2014,Male,Karachi,Pakistan,6,ENG
12349,Amir Hussain,Non-Syed,11/23/2015,Male,Karachi,Pakistan,8,ENG
12350,Farhad ,Syed,11/24/2015,Male,Karachi,Pakistan,12,ENG
12351,Javaid,Non-Syed,11/25/2015,Male,Karachi,Pakistan,11,ENG
12352,Ariba,Non-Syed,11/26/2015,Female,Karachi,Pakistan,10,ENG
12353,Arslan,Non-Syed,11/27/2015,Male,Karachi,Pakistan,9,ENG
12354,Hamza,Syed,11/28/2015,Male,Karachi,Pakistan,8,ENG
12355,Shero,Non-Syed,11/29/2015,Male,Karachi,Pakistan,7,ENG
12356,Shabaz,Non-Syed,11/30/2015,Male,Karachi,Pakistan,6,ENG
12357,Affan,Syed,12/1/2015,Male,Karachi,Pakistan,5,ENG
12358,Ovais,Non-Syed,12/2/2015,Male,Karachi,Pakistan,4,ENG
12359,Wajahat,Syed,12/3/2015,Male,Karachi,Pakistan,3,ENG
12360,Abde Ali,Non-Syed,12/4/2015,Male,Karachi,Pakistan,2,ENG
12361,Ali Naqi,Non-Syed,12/5/2015,Male,Karachi,Pakistan,1,ENG
12362,Jawad,Syed,12/6/2015,Male,Karachi,Pakistan,12,ENG
12363,Hackle,Non-Syed,12/7/2015,Male,Karachi,Pakistan,11,ENG
12364,Jackle,Syed,12/8/2015,Male,Karachi,Pakistan,10,ENG
12365,Osama,Non-Syed,12/9/2015,Male,Karachi,Pakistan,9,ENG
12366,Moeed,Syed,12/10/2015,Male,Karachi,Pakistan,8,ENG
12367,Shehr Bano,Non-Syed,12/11/2015,Female,Karachi,Pakistan,7,ENG
12368,Fariha,Non-Syed,12/12/2015,Female,Karachi,Pakistan,6,ENG
12369,Abida,Syed,12/13/2015,Female,Karachi,Pakistan,5,ENG
12370,Parveen,Syed,12/14/2015,Female,Karachi,Pakistan,4,ENG
12371,Saima,Syed,12/15/2015,Female,Karachi,Pakistan,3,ENG
12372,Rimsha,Non-Syed,12/16/2015,Female,Karachi,Pakistan,2,ENG
12373,Zainab,Syed,12/17/2015,Female,Karachi,Pakistan,1,ENG
12374,Urooj,Syed,12/18/2015,Female,Karachi,Pakistan,12,ENG
12375,Jabbar,Non-Syed,12/19/2015,Male,Karachi,Pakistan,11,ENG
